PARAMETER_TYPE|PARAMETER_VALUE|CONFIG_TYPE|CONFIG_VALUE|ATTRIBUTE_NAME1|ATTRIBUTE_VALUE1|ACTIVE|DESCRIPTION|ATTRIBUTE_NAME2|ATTRIBUTE_VALUE2|ATTRIBUTE_NAME3|ATTRIBUTE_VALUE3
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#PSA|CONTENT_TYPE_ID|SAFETY#PSA|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#PSO - ADULT|CONTENT_TYPE_ID|SAFETY#PSO_ADULT|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#PSO - PEDS|CONTENT_TYPE_ID|SAFETY#PSO_PEDS|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#SIDE EFFECTS|CONTENT_TYPE_ID|SAFETY#SIDE_EFFECTS|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#SIDE_EFFECTS|CONTENT_TYPE_ID|SAFETY#SIDE_EFFECTS|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY|CONTENT_TYPE_ID|SAFETY|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|STUDY DESIGN|CONTENT_TYPE_ID|STUDY_DESIGN|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|TREATMENT LANDSCAPES|CONTENT_TYPE_ID|TREATMENT_LANDSCAPE|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|TREATMENT LANDSCAPE|CONTENT_TYPE_ID|TREATMENT_LANDSCAPE|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|UNMET NEED|CONTENT_TYPE_ID|UNMET_NEED|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES|CAP|MESSAGE_TYPE|ACCESS OR FORMULARY|CONTENT_TYPE_ID|ACCESS_FORMULARY|Y|NBA CAP MESSAGE TYPE||||"	"|||||||||||
