Product|brand_indication|segment|speciality|affinity_segment|affinity_type|Dimension_type|Dimension_Value|Min_Allowed|Max_Allowed|Active
US_304486|US_304486|Non-Targets|BOTH|L|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|BOTH|VL|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|BOTH|NA|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Critical|SPEC|VH|DPH|DIMENSION_1|HQ_EMAIL|4|12|Y
US_304486|US_304486|Critical|SPEC|H|DPH|DIMENSION_1|HQ_EMAIL|3|10|Y
US_304486|US_304486|Critical|SPEC|M|DPH|DIMENSION_1|HQ_EMAIL|2|7|Y
US_304486|US_304486|Critical|SPEC|L|DPH|DIMENSION_1|HQ_EMAIL|2|5|Y
US_304486|US_304486|Critical|SPEC|VL|DPH|DIMENSION_1|HQ_EMAIL|1|2|Y
US_304486|US_304486|Critical|SPEC|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Critical|PCP|VH|DPH|DIMENSION_1|HQ_EMAIL|4|12|Y
US_304486|US_304486|Critical|PCP|H|DPH|DIMENSION_1|HQ_EMAIL|3|10|Y
US_304486|US_304486|Critical|PCP|M|DPH|DIMENSION_1|HQ_EMAIL|2|7|Y
US_304486|US_304486|Critical|PCP|L|DPH|DIMENSION_1|HQ_EMAIL|2|5|Y
US_304486|US_304486|Critical|PCP|VL|DPH|DIMENSION_1|HQ_EMAIL|1|2|Y
US_304486|US_304486|Critical|PCP|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Critical|BOTH|VH|DPH|DIMENSION_1|HQ_EMAIL|4|12|Y
US_304486|US_304486|Critical|BOTH|H|DPH|DIMENSION_1|HQ_EMAIL|3|10|Y
US_304486|US_304486|Critical|BOTH|M|DPH|DIMENSION_1|HQ_EMAIL|2|7|Y
US_304486|US_304486|Critical|BOTH|L|DPH|DIMENSION_1|HQ_EMAIL|2|5|Y
US_304486|US_304486|Critical|BOTH|VL|DPH|DIMENSION_1|HQ_EMAIL|1|2|Y
US_304486|US_304486|Critical|BOTH|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|High|SPEC|VH|DPH|DIMENSION_1|HQ_EMAIL|4|12|Y
US_304486|US_304486|High|SPEC|H|DPH|DIMENSION_1|HQ_EMAIL|3|10|Y
US_304486|US_304486|High|SPEC|M|DPH|DIMENSION_1|HQ_EMAIL|2|7|Y
US_304486|US_304486|High|SPEC|L|DPH|DIMENSION_1|HQ_EMAIL|2|5|Y
US_304486|US_304486|High|SPEC|VL|DPH|DIMENSION_1|HQ_EMAIL|1|2|Y
US_304486|US_304486|High|SPEC|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|High|PCP|VH|DPH|DIMENSION_1|HQ_EMAIL|4|12|Y
US_304486|US_304486|High|PCP|H|DPH|DIMENSION_1|HQ_EMAIL|3|10|Y
US_304486|US_304486|High|PCP|M|DPH|DIMENSION_1|HQ_EMAIL|2|7|Y
US_304486|US_304486|High|PCP|L|DPH|DIMENSION_1|HQ_EMAIL|2|5|Y
US_304486|US_304486|High|PCP|VL|DPH|DIMENSION_1|HQ_EMAIL|1|2|Y
US_304486|US_304486|High|PCP|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|High|BOTH|VH|DPH|DIMENSION_1|HQ_EMAIL|4|12|Y
US_304486|US_304486|High|BOTH|H|DPH|DIMENSION_1|HQ_EMAIL|3|10|Y
US_304486|US_304486|High|BOTH|M|DPH|DIMENSION_1|HQ_EMAIL|2|7|Y
US_304486|US_304486|High|BOTH|L|DPH|DIMENSION_1|HQ_EMAIL|2|5|Y
US_304486|US_304486|High|BOTH|VL|DPH|DIMENSION_1|HQ_EMAIL|1|2|Y
US_304486|US_304486|High|BOTH|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Medium|SPEC|VH|DPH|DIMENSION_1|HQ_EMAIL|2|6|Y
US_304486|US_304486|Medium|SPEC|H|DPH|DIMENSION_1|HQ_EMAIL|2|5|Y
US_304486|US_304486|Medium|SPEC|M|DPH|DIMENSION_1|HQ_EMAIL|1|4|Y
US_304486|US_304486|Medium|SPEC|L|DPH|DIMENSION_1|HQ_EMAIL|1|2|Y
US_304486|US_304486|Medium|SPEC|VL|DPH|DIMENSION_1|HQ_EMAIL|0|1|Y
US_304486|US_304486|Medium|SPEC|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Medium|PCP|VH|DPH|DIMENSION_1|HQ_EMAIL|2|12|Y
US_304486|US_304486|Medium|PCP|H|DPH|DIMENSION_1|HQ_EMAIL|2|10|Y
US_304486|US_304486|Medium|PCP|M|DPH|DIMENSION_1|HQ_EMAIL|1|7|Y
US_304486|US_304486|Medium|PCP|L|DPH|DIMENSION_1|HQ_EMAIL|1|5|Y
US_304486|US_304486|Medium|PCP|VL|DPH|DIMENSION_1|HQ_EMAIL|0|2|Y
US_304486|US_304486|Medium|PCP|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Medium|BOTH|VH|DPH|DIMENSION_1|HQ_EMAIL|2|6|Y
US_304486|US_304486|Medium|BOTH|H|DPH|DIMENSION_1|HQ_EMAIL|2|5|Y
US_304486|US_304486|Medium|BOTH|M|DPH|DIMENSION_1|HQ_EMAIL|1|4|Y
US_304486|US_304486|Medium|BOTH|L|DPH|DIMENSION_1|HQ_EMAIL|1|2|Y
US_304486|US_304486|Medium|BOTH|VL|DPH|DIMENSION_1|HQ_EMAIL|0|1|Y
US_304486|US_304486|Medium|BOTH|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Low|SPEC|VH|DPH|DIMENSION_1|HQ_EMAIL|2|6|Y
US_304486|US_304486|Low|SPEC|H|DPH|DIMENSION_1|HQ_EMAIL|2|5|Y
US_304486|US_304486|Low|SPEC|M|DPH|DIMENSION_1|HQ_EMAIL|1|4|Y
US_304486|US_304486|Low|SPEC|L|DPH|DIMENSION_1|HQ_EMAIL|1|2|Y
US_304486|US_304486|Low|SPEC|VL|DPH|DIMENSION_1|HQ_EMAIL|0|1|Y
US_304486|US_304486|Low|SPEC|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Low|PCP|VH|DPH|DIMENSION_1|HQ_EMAIL|2|12|Y
