metric_sk,sugg_key,sugg_name,salesforce_id,suggestion_type,frequency,FRAGMENT_ID,FRAGMENT_ORDER,Insight_type,Cloud_Tag_1,Cloud_Tag_2,Cloud_Tag_3,Insight_Metric_1,Insight_Metric_2,Insight_Metric_3
cc86dae0e01a451b8bd77d1956987951,ZEP_CWM_09 | L - Signal when there are patients on certain insurance coverage using competitor product (where Lilly should have advantage),ZEP_CWM_09 ,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
c7901de751684395b6ccf4c741ea921a,MNJ_T2D_12 | Others - Not on playbook,MNJ_T2D_12,CMH_TERR_1,Insight,Weekly,,,NA,,,,MNJ_GLP1_PRODUCT_NBRX_6_M,,
c7901de751684395b6ccf4c741ea921a,MNJ_T2D_12 | Others - Not on playbook,MNJ_T2D_12,CMH_TERR_2,Insight,Weekly,,,NA,,,,MNJ_GLP1_PRODUCT_NBRX_6_M,,
c7901de751684395b6ccf4c741ea921a,MNJ_T2D_12 | Others - Not on playbook,MNJ_T2D_12,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,MNJ_GLP1_PRODUCT_NBRX_6_M,,
bf235296ff664493b73641c1536de6c3,MNJ_T2D_13 | L - Signal when there are patients on certain insurance coverage using competitor product (where Lilly should have advantage),MNJ_T2D_13,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
bf235296ff664493b73641c1536de6c3,MNJ_T2D_13 | L - Signal when there are patients on certain insurance coverage using competitor product (where Lilly should have advantage),MNJ_T2D_13,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
bf235296ff664493b73641c1536de6c3,MNJ_T2D_13 | L - Signal when there are patients on certain insurance coverage using competitor product (where Lilly should have advantage),MNJ_T2D_13,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
180fc0a8dc24483d81396ccc329e4f11,MNJ_T2D_14 | B - Signal when Lilly product was newly prescribed,MNJ_T2D_14,CMH_TERR_1,Insight,Weekly,,,NA,,,,MNJ_GLP1_PRODUCT_NBRX_6_M,,
180fc0a8dc24483d81396ccc329e4f11,MNJ_T2D_14 | B - Signal when Lilly product was newly prescribed,MNJ_T2D_14,CMH_TERR_2,Insight,Weekly,,,NA,,,,MNJ_GLP1_PRODUCT_NBRX_6_M,,
180fc0a8dc24483d81396ccc329e4f11,MNJ_T2D_14 | B - Signal when Lilly product was newly prescribed,MNJ_T2D_14,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,MNJ_GLP1_PRODUCT_NBRX_6_M,,
5b029b5e4bc94095a47535c1a709f404,MNJ_T2D_15 | I - Signal when certain drug has been prescribed (such as ones that are not as good as Lilly product),MNJ_T2D_15,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
5b029b5e4bc94095a47535c1a709f404,MNJ_T2D_15 | I - Signal when certain drug has been prescribed (such as ones that are not as good as Lilly product),MNJ_T2D_15,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
5b029b5e4bc94095a47535c1a709f404,MNJ_T2D_15 | I - Signal when certain drug has been prescribed (such as ones that are not as good as Lilly product),MNJ_T2D_15,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
df891f6f83424448ab41344fb0b1152d,JAY_CLL_16,JAY_CLL_16,ONC_PORTFOLIO,INSIGHT,NA,,,NA,,,,,,
