SOURCE_NAME|SOURCE_PRODUCT_NAME|TARGET_NAME|TARGET_PRODUCT_NAME|ATTRIBUTE_NAME1|ATTRIBUTE_VALUE1|BUSINESS_UNIT|ACTIVE
CALL_ACTIVITY_FIA|HR+/HER2 – MBC IN COMBINATION WITH FULVESTRANT|ZS|DS162|PROD_SK||OBU|Y
CALL_ACTIVITY_FIA|HR+/HER2 – MBC MONOTHERAPY|ZS|DS162|PROD_SK||OBU|Y
CALL_ACTIVITY_FIA|HR+/HER2- EBC IN COMBINATION WITH ENDOCRINE THERAPY (ET)|ZS|558393|PROD_SK||OBU|Y
CALL_ACTIVITY_FIA|HR+/HER2- MBC IN COMBINATION WITH AN AROMATASE|ZS|DS162|PROD_SK||OBU|Y
CALL_ACTIVITY_FIA|RELAPSED OR REFRACTORY MANTLE CELL LYMPHOMA - ADULT|ZS|708087|PROD_SK||OBU|Y
CALL_ACTIVITY_FIA|RELAPSED/REFRACTORY CHRONIC LYMPHOCYTIC LEUKEMIA (CLL)|ZS|430015|PROD_SK||OBU|Y
FIA_SYNC_PRODUCTS|a00R700000I0sAzIAJ|ZS|EBGLYSS AD|PROD_SK|US_708127_420004|BMBU_IMM|Y
FIA_PRODUCT_MAPPING|US_304521_558393||VERZENIO_EBC|Q|US_304521|OBU|Y
FIA_PRODUCT_MAPPING|US_304521_DS162||VERZENIO_MBC|Q|US_304521|OBU|Y
FIA_PRODUCT_MAPPING|US_304528_DS150||TALTZ PSO|M|US_304528_DS150|IMM|Y
FIA_PRODUCT_MAPPING|US_304528_DS152||TALTZ PSA|M|US_304528_DS152|IMM|Y
FIA_PRODUCT_MAPPING|US_613009_DS057||MOUNJARO|M|US_613009_DS057|LDO|Y
FIA_PRODUCT_MAPPING|US_708086_430015||JAYPIRCA CLL|Q|US_708086|OBU|Y
FIA_PRODUCT_MAPPING|US_708086_708087||JAYPIRCA MCL|Q|US_708086|OBU|Y
FIA_PRODUCT_MAPPING|US_708121_713022||OMVOH|M|US_708121|GI|N
FIA_PRODUCT_MAPPING|US_708127_420004||EBGLYSS AD|M|US_708127_420004|IMM|Y
AIML_TRIGGERS|VERZENIO_EBC|ZS|VERZENIO_EBC|PROD_SK|US_304521_558393|OBU|Y
AIML_TRIGGERS|VERZENIO_MBC|ZS|VERZENIO_MBC|PROD_SK|US_304521_DS162|OBU|Y
OBU_TGT|JAYPIRCA_CLL|ZS|JAYPIRCA_CLL|PROD_SK|US_708086_430015|OBU|Y
OBU_TGT|JAYPIRCA_MCL|ZS|JAYPIRCA_MCL|PROD_SK|US_708086_708087|OBU|Y
OBU_TGT|VERZENIO_EBC/MBC|ZS|VERZENIO_EBC|PROD_SK|US_304521_558393|OBU|Y
OBU_TGT|VERZENIO_EBC/MBC|ZS|VERZENIO_MBC|PROD_SK|US_304521_DS162|OBU|Y
OBU_TGT|VERZENIO_EBC|ZS|VERZENIO_EBC|PROD_SK|US_304521_558393|OBU|Y
OBU_TGT|VERZENIO_MBC|ZS|VERZENIO_MBC|PROD_SK|US_304521_DS162|OBU|Y
PRI_SUGG_POST_BR|US_304521_558393||VERZENIO_EBC|VERZENIO|US_304521|OBU|Y
PRI_SUGG_POST_BR|US_304521_DS162||VERZENIO_MBC|VERZENIO|US_304521|OBU|Y
PRI_SUGG_POST_BR|US_708086_430015||JAYPIRCA CLL|JAYPIRCA|US_708086|OBU|Y
PRI_SUGG_POST_BR|US_708086_708087||JAYPIRCA MCL|JAYPIRCA|US_708086|OBU|Y
ALZ_TGT|DONANEMAB|ZS|KISUNLA|PROD_SK|US_708120_708233|ALZ|Y
ALZ_TGT|KISUNLA|ZS|KISUNLA|PROD_SK|US_708120_708233|ALZ|Y
ALZ_TGT|US_708120_708233|ZS|KISUNLA|PROD_SK|US_708120_708233|ALZ|Y
ALZ_TGT|US_708120|ZS|KISUNLA|PROD_SK|US_708120_708233|ALZ|Y
TEAM_RESP_CD|US1U_US_708120|ZS|KISUNLA|PROD_SK|US_708120_708233|ALZ|Y
TEAM_RESP_CD|US7P_US_304521|ZS|VERZENIO|PROD_SK|US_304521_558393|OBU|Y
TEAM_RESP_CD|US7P_US_304521|ZS|VERZENIO|PROD_SK|US_304521_DS162|OBU|Y
TEAM_RESP_CD|US7P_US_708086|ZS|JAYPIRCA|PROD_SK|US_708086_430015|OBU|Y
TEAM_RESP_CD|US7P_US_708086|ZS|JAYPIRCA|PROD_SK|US_708086_708087|OBU|Y
OLUM_AA_TGT|US_304547_598010|ZS|OLUMIANT|PROD_SK|US_304547_598010|BMBU_IMM|N
P2P|OLUMIANT AA|ZS|OLUMIANT|PROD_SK|US_304547_598010|BMBU_IMM|N
P2P_DERM|OLUMIANT AA|ZS|OLUMIANT|PROD_SK|US_304547_598010|BMBU_IMM|N
SOA_BRAND_EMAILS|OLUMIANT|ZS|OLUMIANT|PROD_SK|US_304547_598010|BMBU_IMM|N
SUGG_ENGAGEMENT|US_304547_598010|ZS|OLUMIANT AA|PROD_IND_SK|US_304547_598010|BMBU_IMM|N
TEAM_RESP_CD|USV6_US_304547|ZS|OLUMIANT|PROD_SK|US_304547_598010|BMBU_IMM|N
TEAM_RESP_CD|USV7_US_304547|ZS|OLUMIANT|PROD_SK|US_304547_598010|BMBU_IMM|N
TEAM_RESP_CD|USV8_US_304547|ZS|OLUMIANT|PROD_SK|US_304547_598010|BMBU_IMM|N
VEEVA|US_304547_598010|ZS|OLUMIANT|PROD_SK|US_304547_598010|BMBU_IMM|N
ZEP_OSA_TGT|US_708122_864716|ZS|ZEPBOUND|PROD_SK|US_708122_864716|LDO|Y
TEAM_RESP_CD|US8D_US_708122|ZS|ZEPBOUND|PROD_SK|US_708122_864716|LDO|Y
TEAM_RESP_CD|US8E_US_708122|ZS|ZEPBOUND|PROD_SK|US_708122_864716|LDO|Y
TEAM_RESP_CD|US8F_US_708122|ZS|ZEPBOUND|PROD_SK|US_708122_864716|LDO|Y
TEAM_RESP_CD|US8D_US_613009|ZS|MOUNJARO|PROD_SK|US_613009_DS057|LDO|Y
TEAM_RESP_CD|US8D_US_708122|ZS|ZEPBOUND|PROD_SK|US_708122_723224|LDO|Y
TEAM_RESP_CD|US8E_US_613009|ZS|MOUNJARO|PROD_SK|US_613009_DS057|LDO|Y
TEAM_RESP_CD|US8E_US_708122|ZS|ZEPBOUND|PROD_SK|US_708122_723224|LDO|Y
TEAM_RESP_CD|US8F_US_708122|ZS|ZEPBOUND|PROD_SK|US_708122_723224|LDO|Y
TEAM_RESP_CD|US8F_US_613009|ZS|MOUNJARO|PROD_SK|US_613009_DS057|LDO|Y
FIA_PRODUCT_MAPPING|US_304544_DS057||JARDIANCE|M|US_304544_DS057|LDO|N
FIA_PRODUCT_MAPPING|US_708120_708233||KISUNLA ALZ|M|US_708120_708233|ALZ|Y
